WORD	arg0.np..v.v..arg2.np..arg1.np.	arg0.np..v.v..arg1.np..arg2.pp.	PREFERENCE	LLR	PEARSONRESID	LOGODDSRATIO	MI	DELTAPC2W	DELTAPW2C	FYE
put	0	392	arg0(np)-v(v)-arg1(np)-arg2(pp)	157.626967035229	3.8563059654841	27.2029801156364	0.280555560855218	0.0713116245224668	0.187748607796341	17.6271397068496
take	2	213	arg0(np)-v(v)-arg1(np)-arg2(pp)	68.4509316292823	2.70560325132645	3.16727968371878	0.267072331491596	0.0370534929684296	0.172994177049369	8.81889778109365
accuse	0	100	arg0(np)-v(v)-arg1(np)-arg2(pp)	39.2183541575391	1.94772864180282	25.7908365839048	0.280555560855218	0.0181917409496089	0.179413106279459	5.08551321378035
get	0	97	arg0(np)-v(v)-arg1(np)-arg2(pp)	38.0322404206143	1.91829024296014	25.7602172626588	0.280555560855218	0.0176459887211206	0.179331306990882	4.98615499633864
receive	0	75	arg0(np)-v(v)-arg1(np)-arg2(pp)	29.352299350377	1.6867824834798	25.5027775493209	0.280555560855218	0.0136438057122067	0.178733717055438	3.96098754209067
throw	0	68	arg0(np)-v(v)-arg1(np)-arg2(pp)	26.5972029948225	1.60613818403877	25.4052616406656	0.280555560855218	0.012370383845734	0.178544409139053	3.87448332232228
use	0	76	arg0(np)-v(v)-arg1(np)-arg2(pp)	29.7461480833147	1.69799046381164	25.515986106111	0.280555560855218	0.0138257231217027	0.178760793819118	3.8495018315203
keep	0	73	arg0(np)-v(v)-arg1(np)-arg2(pp)	28.5647996495852	1.66414008104255	25.4758440432636	0.280555560855218	0.0132799708932145	0.178679588128407	3.7483986651385
thank	0	57	arg0(np)-v(v)-arg1(np)-arg2(pp)	22.2742746185991	1.47050287704461	25.2303718286942	0.280555560855218	0.0103692923412771	0.178247734138973	3.3496935600127
describe	0	51	arg0(np)-v(v)-arg1(np)-arg2(pp)	19.919657700779	1.39095646936578	25.1206650325355	0.280555560855218	0.00927778788430053	0.178086326592212	3.13624649258814
make	0	51	arg0(np)-v(v)-arg1(np)-arg2(pp)	19.919657700779	1.39095646936578	25.1206650325355	0.280555560855218	0.00927778788430053	0.178086326592212	3.13624649258814
spend	0	51	arg0(np)-v(v)-arg1(np)-arg2(pp)	19.919657700779	1.39095646936578	25.1206650325355	0.280555560855218	0.00927778788430053	0.178086326592212	3.13624649258814
add	0	47	arg0(np)-v(v)-arg1(np)-arg2(pp)	18.3512213967565	1.33529548235084	25.0403525646887	0.280555560855218	0.00855011824631617	0.177978883861237	2.70191983433732
place	0	40	arg0(np)-v(v)-arg1(np)-arg2(pp)	15.6089715894081	1.23185175440863	24.8824975789132	0.280555560855218	0.00727669637984355	0.177791170709658	2.57078369518586
sell	5	82	arg0(np)-v(v)-arg1(np)-arg2(pp)	11.0643474591225	1.22592344730963	1.26937660196166	0.195164069624573	0.0106799394430861	0.120829190867389	2.35513056038308
buy	0	38	arg0(np)-v(v)-arg1(np)-arg2(pp)	14.8260584181119	1.2006605713513	24.8324831345666	0.280555560855218	0.00691286156085137	0.177737611086007	2.35416401549331
compare	0	38	arg0(np)-v(v)-arg1(np)-arg2(pp)	14.8260584181119	1.2006605713513	24.8324831345666	0.280555560855218	0.00691286156085137	0.177737611086007	2.35416401549331
prevent	0	34	arg0(np)-v(v)-arg1(np)-arg2(pp)	13.2610133090965	1.13571120145646	24.7244083550859	0.280555560855218	0.00618519192286702	0.177630588589493	2.30658458500106
blame	0	35	arg0(np)-v(v)-arg1(np)-arg2(pp)	13.6521769864607	1.15229180407337	24.7525341402646	0.280555560855218	0.00636710933236311	0.177657332128877	2.22727374253892
stop	0	35	arg0(np)-v(v)-arg1(np)-arg2(pp)	13.6521769864607	1.15229180407337	24.7525341402646	0.280555560855218	0.00636710933236311	0.177657332128877	2.22727374253892
view	0	32	arg0(np)-v(v)-arg1(np)-arg2(pp)	12.478881023939	1.10180170442403	24.6657157223441	0.280555560855218	0.00582135710387484	0.17757712565839	2.09235032177659
share	0	33	arg0(np)-v(v)-arg1(np)-arg2(pp)	12.8699146621517	1.11888492012927	24.6954912129965	0.280555560855218	0.00600327451337093	0.177603853100542	2.01213308367583
move	0	31	arg0(np)-v(v)-arg1(np)-arg2(pp)	12.0879123727814	1.08444941202931	24.6350402433202	0.280555560855218	0.00563943969437875	0.177550406259404	1.79814324188713
see	0	26	arg0(np)-v(v)-arg1(np)-arg2(pp)	10.1340431648935	0.993150635173615	24.4659606010937	0.280555560855218	0.00472985264689831	0.177416929784995	1.79181945666931
set	0	26	arg0(np)-v(v)-arg1(np)-arg2(pp)	10.1340431648935	0.993150635173615	24.4659606010937	0.280555560855218	0.00472985264689831	0.177416929784995	1.79181945666931
attribute	0	27	arg0(np)-v(v)-arg1(np)-arg2(pp)	10.5246872055471	1.01206949008788	24.5021111576822	0.280555560855218	0.0049117700563944	0.177443609022556	1.7351527547956
invest	0	27	arg0(np)-v(v)-arg1(np)-arg2(pp)	10.5246872055471	1.01206949008788	24.5021111576822	0.280555560855218	0.0049117700563944	0.177443609022556	1.7351527547956
reduce	0	27	arg0(np)-v(v)-arg1(np)-arg2(pp)	10.5246872055471	1.01206949008788	24.5021111576822	0.280555560855218	0.0049117700563944	0.177443609022556	1.7351527547956
convert	0	28	arg0(np)-v(v)-arg1(np)-arg2(pp)	10.9153961250348	1.03064112152957	24.5370212823575	0.280555560855218	0.00509368746589049	0.177470296285156	1.66462333355896
lay	0	28	arg0(np)-v(v)-arg1(np)-arg2(pp)	10.9153961250348	1.03064112152957	24.5370212823575	0.280555560855218	0.00509368746589049	0.177470296285156	1.66462333355896
turn	0	28	arg0(np)-v(v)-arg1(np)-arg2(pp)	10.9153961250348	1.03064112152957	24.5370212823575	0.280555560855218	0.00509368746589049	0.177470296285156	1.66462333355896
devote	0	23	arg0(np)-v(v)-arg1(np)-arg2(pp)	8.96250009987553	0.934097841921703	24.3490126353974	0.280555560855218	0.00418410041841004	0.177336940186354	1.62355942589202
discuss	0	23	arg0(np)-v(v)-arg1(np)-arg2(pp)	8.96250009987553	0.934097841921703	24.3490126353974	0.280555560855218	0.00418410041841004	0.177336940186354	1.62355942589202
fill	0	23	arg0(np)-v(v)-arg1(np)-arg2(pp)	8.96250009987553	0.934097841921703	24.3490126353974	0.280555560855218	0.00418410041841004	0.177336940186354	1.62355942589202
force	0	24	arg0(np)-v(v)-arg1(np)-arg2(pp)	9.35294963365299	0.954188265964203	24.3895141175935	0.280555560855218	0.00436601782790613	0.177363595370509	1.58157219530107
