WORD	arg0.np..v.v..arg2.np..arg1.np.	arg0.np..v.v..arg1.np..arg2.pp.	PREFERENCE	LLR	PEARSONRESID	LOGODDSRATIO	MI	DELTAPC2W	DELTAPW2C
put	392	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	157.626967035229	3.8563059654841	27.2029801156364	0.280555560855218	0.0713116245224668	0.187748607796341
accuse	100	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	39.2183541575391	1.94772864180282	25.7908365839048	0.280555560855218	0.0181917409496089	0.179413106279459
get	97	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	38.0322404206143	1.91829024296014	25.7602172626588	0.280555560855218	0.0176459887211206	0.179331306990882
use	76	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	29.7461480833147	1.69799046381164	25.515986106111	0.280555560855218	0.0138257231217027	0.178760793819118
receive	75	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	29.352299350377	1.6867824834798	25.5027775493209	0.280555560855218	0.0136438057122067	0.178733717055438
keep	73	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	28.5647996495852	1.66414008104255	25.4758440432636	0.280555560855218	0.0132799708932145	0.178679588128407
throw	68	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	26.5972029948225	1.60613818403877	25.4052616406656	0.280555560855218	0.012370383845734	0.178544409139053
thank	57	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	22.2742746185991	1.47050287704461	25.2303718286942	0.280555560855218	0.0103692923412771	0.178247734138973
describe	51	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	19.919657700779	1.39095646936578	25.1206650325355	0.280555560855218	0.00927778788430053	0.178086326592212
make	51	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	19.919657700779	1.39095646936578	25.1206650325355	0.280555560855218	0.00927778788430053	0.178086326592212
spend	51	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	19.919657700779	1.39095646936578	25.1206650325355	0.280555560855218	0.00927778788430053	0.178086326592212
add	47	0	arg0(np)-v(v)-arg1(np)-arg2(pp)	18.3512213967565	1.33529548235084	25.0403525646887	0.280555560855218	0.00855011824631617	0.177978883861237
