	log.likelihood.values	pearson.residuals	log.odds.ratios	mi.scores	delta.p.constr.cues.word	delta.p.word.cues.constr
log.likelihood.values	1	0.829	0.793	-0.235	0.823	0.793
pearson.residuals	0.829	1	0.951	0.213	0.994	0.951
log.odds.ratios	0.793	0.951	1	0.352	0.945	1
mi.scores	-0.235	0.213	0.352	1	0.196	0.352
delta.p.constr.cues.word	0.823	0.994	0.945	0.196	1	0.945
delta.p.word.cues.constr	0.793	0.951	1	0.352	0.945	1
